iter	TotalF1	MultiClass
0	0.7626144837	1.053098107
1	0.7673864744	1.012406483
2	0.7656022876	0.9758215645
3	0.7721721922	0.9391517399
4	0.7816241242	0.9067467699
5	0.7838774656	0.8790040048
6	0.7797480089	0.8548864961
7	0.7790382878	0.8338136879
8	0.7776800809	0.8100045508
9	0.7783793565	0.788950654
10	0.7856488803	0.7673213399
11	0.7889246156	0.7490046148
12	0.7903557195	0.731159629
13	0.7893806948	0.716826319
14	0.7912847082	0.7026348974
15	0.7899886689	0.689430286
16	0.7910302571	0.6771475445
17	0.7933479781	0.6654497843
18	0.7988191689	0.6546543854
19	0.8012714963	0.6415060508
20	0.8015341202	0.6290714781
21	0.8040430837	0.6192822134
22	0.8039863887	0.6095178742
23	0.802825336	0.6010609933
24	0.8025802894	0.5922054646
25	0.8018373972	0.5828061761
26	0.8016072162	0.5749743899
27	0.8063488047	0.5664938482
28	0.803540561	0.5608519699
29	0.8066983381	0.5543229208
30	0.8074495367	0.5492811994
31	0.810183597	0.5435832349
32	0.8128979296	0.5364849868
33	0.8170026589	0.5309915426
34	0.8182020615	0.5258249204
35	0.8166888641	0.5203712753
36	0.8184031713	0.5160724516
37	0.8211754264	0.5098606341
38	0.8213790096	0.5056975194
39	0.8209059762	0.502655068
40	0.8223451266	0.4988643716
41	0.8232479198	0.4952171071
42	0.8234476056	0.4921307449
43	0.8245351483	0.4876212405
44	0.8253142361	0.4833149947
45	0.8254104431	0.479615181
46	0.8252275885	0.4764680713
47	0.8263917426	0.4739191212
48	0.826775753	0.4714939307
49	0.8269136038	0.4693585847
50	0.8268277653	0.4673019319
51	0.8265442109	0.4650988887
52	0.8267783717	0.4628870321
53	0.8269359366	0.459834083
54	0.827417855	0.4575492892
55	0.8282130732	0.4552236215
56	0.8277992744	0.4537384677
57	0.8290911785	0.4522980724
58	0.8297212363	0.4496307607
59	0.8309208776	0.4462875751
60	0.8324265919	0.4442710843
61	0.8323943981	0.4432265167
62	0.8328445858	0.44132398
63	0.8320840072	0.4398904893
64	0.8323708862	0.4374701893
65	0.8329359429	0.4358172242
66	0.8336674806	0.4336799855
67	0.8330916252	0.4312575106
68	0.8331437583	0.4296570688
69	0.8331549071	0.4285324217
70	0.8341563499	0.4265906538
71	0.8340120642	0.4250990066
72	0.8343233158	0.423786111
73	0.8345313699	0.4227733992
74	0.8344112708	0.4215582914
75	0.8346341256	0.4207757248
76	0.8352856449	0.4195695962
77	0.8355435092	0.4186875143
78	0.83611991	0.4179543711
79	0.835735124	0.416822106
80	0.8361292121	0.415289097
81	0.836083522	0.4143784036
82	0.8362317358	0.4127026351
83	0.8369482334	0.4117530183
84	0.8372539719	0.4111009502
85	0.8376653131	0.4098423165
86	0.83874564	0.4091258631
87	0.8385792633	0.4082897123
88	0.8391093049	0.4072783967
89	0.8394391391	0.4064335053
90	0.8405971973	0.4056623906
91	0.8403132709	0.4049266793
92	0.8403430428	0.4043962285
93	0.840811844	0.4034496598
94	0.8409408922	0.4029752487
95	0.8412489098	0.4025132038
96	0.841374517	0.4016912626
97	0.8428983559	0.4012992287
98	0.8429443921	0.4006790402
99	0.8431091312	0.4000847222
100	0.8433157274	0.3994241662
101	0.843507893	0.3986083753
102	0.8442736928	0.3980462099
103	0.8446318247	0.3973392238
104	0.8454277526	0.3963788056
105	0.8455889423	0.3959484817
106	0.8457651418	0.3956311288
107	0.8456390767	0.3949656783
108	0.8460065974	0.3943779145
109	0.846310221	0.3937214623
110	0.8468422806	0.3928490648
111	0.8469722456	0.3926284801
112	0.8460522358	0.3919878387
113	0.8469221021	0.3912273824
114	0.8465399904	0.3902255349
115	0.8474854031	0.3893275402
