iter	Passed	Remaining
0	22	22002
1	46	23209
2	77	25595
3	105	26237
4	133	26609
5	155	25815
6	181	25803
7	204	25304
8	237	26180
9	268	26571
10	298	26842
11	332	27354
12	359	27327
13	387	27317
14	416	27365
15	443	27303
16	472	27334
17	502	27438
18	534	27575
19	560	27443
20	589	27500
21	618	27503
22	646	27442
23	676	27498
24	702	27399
25	732	27444
26	761	27456
27	790	27438
28	822	27535
29	854	27640
30	885	27692
31	913	27621
32	943	27644
33	970	27577
34	1002	27627
35	1032	27636
36	1058	27558
37	1086	27515
38	1118	27559
39	1148	27554
40	1172	27424
41	1205	27493
42	1236	27522
43	1263	27462
44	1294	27477
45	1325	27497
46	1354	27458
47	1385	27473
48	1413	27442
49	1444	27448
50	1473	27411
51	1501	27368
52	1530	27354
53	1561	27346
54	1589	27314
55	1618	27286
56	1649	27285
57	1681	27305
58	1713	27332
59	1748	27400
60	1777	27356
61	1800	27244
62	1830	27229
63	1860	27213
64	1888	27160
65	1920	27174
66	1952	27185
67	1983	27181
68	2011	27145
69	2040	27110
70	2046	26783
71	2074	26742
72	2105	26732
73	2133	26696
74	2164	26691
75	2195	26694
76	2225	26677
77	2253	26635
78	2285	26649
79	2315	26627
80	2345	26610
81	2373	26575
82	2403	26552
83	2433	26531
84	2463	26523
85	2494	26513
86	2526	26512
87	2553	26459
88	2582	26430
89	2612	26416
90	2644	26412
91	2672	26374
92	2681	26151
93	2711	26133
94	2740	26104
95	2769	26078
96	2799	26057
97	2831	26061
98	2857	26008
99	2867	25808
100	2899	25804
101	2931	25812
102	2963	25812
103	2992	25782
104	3021	25757
105	3049	25720
106	3077	25687
107	3108	25673
108	3123	25530
109	3148	25472
110	3178	25456
111	3200	25378
112	3228	25345
113	3260	25343
114	3292	25341
115	3322	25323
116	3353	25310
117	3380	25266
118	3407	25228
119	3438	25213
120	3467	25192
121	3496	25162
122	3527	25149
123	3556	25124
124	3569	24987
125	3594	24930
126	3623	24907
127	3651	24874
128	3684	24876
129	3715	24868
130	3745	24842
131	3754	24687
132	3781	24648
133	3808	24612
134	3839	24601
135	3868	24577
136	3898	24558
137	3931	24554
138	3961	24537
139	3988	24499
140	4019	24490
141	4051	24480
142	4079	24445
143	4109	24430
144	4141	24423
145	4159	24330
146	4185	24287
147	4218	24286
148	4236	24196
149	4265	24170
150	4299	24171
151	4327	24143
152	4359	24135
153	4390	24118
154	4417	24084
155	4436	24000
156	4452	23909
157	4482	23886
158	4514	23876
159	4544	23858
160	4573	23834
161	4602	23807
162	4633	23790
163	4662	23769
164	4688	23728
165	4719	23709
166	4747	23682
167	4776	23655
168	4803	23619
169	4834	23603
170	4863	23576
171	4893	23558
172	4926	23550
173	4957	23533
174	4969	23426
175	4998	23402
176	5024	23361
177	5054	23341
178	5084	23321
179	5116	23308
180	5146	23285
181	5176	23264
182	5204	23237
183	5236	23222
184	5265	23196
185	5300	23194
186	5324	23149
187	5354	23128
188	5384	23105
189	5414	23081
190	5443	23056
191	5473	23034
192	5502	23009
193	5534	22993
194	5565	22975
195	5592	22941
196	5620	22907
197	5647	22873
198	5679	22860
199	5712	22848
200	5736	22803
201	5765	22776
202	5796	22758
203	5827	22739
204	5851	22691
205	5881	22668
206	5908	22636
207	5936	22602
208	5965	22576
209	5995	22552
210	6028	22542
211	6053	22502
212	6088	22495
213	6116	22465
214	6148	22449
215	6181	22435
216	6212	22418
217	6241	22387
218	6272	22370
219	6309	22369
220	6339	22347
221	6371	22327
222	6402	22306
223	6432	22283
224	6462	22260
225	6492	22236
226	6520	22202
227	6550	22178
228	6579	22153
229	6610	22130
230	6638	22099
231	6667	22072
232	6698	22049
233	6726	22020
234	6752	21982
235	6783	21961
236	6809	21923
237	6837	21892
238	6865	21860
239	6896	21838
240	6925	21810
241	6957	21791
242	6986	21765
243	7015	21736
244	7045	21712
245	7078	21694
246	7109	21673
247	7138	21644
248	7167	21617
249	7199	21597
250	7228	21570
251	7258	21544
252	7284	21508
253	7314	21481
254	7347	21465
255	7372	21427
256	7403	21404
257	7432	21377
258	7471	21375
259	7510	21376
260	7542	21354
261	7571	21326
262	7600	21297
263	7629	21270
264	7657	21238
265	7687	21211
266	7717	21187
267	7745	21156
268	7776	21131
269	7808	21110
270	7838	21085
271	7871	21067
272	7898	21032
273	7925	20998
274	7952	20966
275	7985	20948
276	8017	20925
277	8047	20899
278	8077	20874
279	8105	20843
280	8133	20811
281	8164	20788
282	8194	20761
283	8223	20732
284	8254	20708
285	8281	20674
286	8314	20657
287	8349	20641
288	8378	20612
289	8408	20586
290	8438	20559
291	8464	20524
292	8495	20499
293	8526	20474
294	8560	20457
295	8588	20425
296	8615	20393
297	8644	20364
298	8675	20340
299	8706	20314
300	8738	20292
301	8764	20256
302	8793	20226
303	8825	20204
304	8855	20179
305	8884	20149
306	8912	20117
307	8942	20092
308	8971	20062
309	9002	20036
310	9033	20012
311	9061	19982
312	9093	19958
313	9122	19929
314	9153	19905
315	9185	19881
316	9214	19853
317	9240	19818
318	9269	19788
319	9304	19771
320	9335	19747
321	9364	19717
322	9393	19688
323	9423	19660
324	9453	19633
325	9484	19608
326	9512	19578
327	9542	19550
328	9573	19526
329	9601	19494
330	9630	19465
331	9659	19435
332	9690	19409
333	9719	19380
334	9749	19353
335	9782	19331
336	9813	19307
337	9843	19279
338	9871	19248
339	9905	19228
340	9938	19207
341	9969	19180
342	10001	19157
343	10034	19135
344	10065	19109
345	10098	19087
346	10133	19070
347	10166	19047
348	10200	19027
349	10235	19009
350	10264	18978
351	10295	18953
352	10329	18932
353	10358	18903
354	10392	18881
355	10417	18845
356	10446	18815
357	10477	18788
358	10505	18758
359	10540	18738
360	10567	18705
361	10599	18680
362	10629	18652
363	10660	18627
364	10691	18600
365	10720	18570
366	10750	18542
367	10782	18518
368	10809	18484
369	10840	18458
370	10870	18430
371	10902	18405
372	10932	18377
373	10964	18353
374	10995	18325
375	11029	18303
376	11061	18279
377	11095	18258
378	11122	18223
379	11153	18197
380	11181	18166
381	11212	18139
382	11243	18112
383	11271	18081
384	11304	18057
385	11332	18025
386	11360	17994
387	11388	17963
388	11416	17931
389	11453	17915
390	11482	17884
391	11512	17855
392	11543	17828
393	11571	17798
394	11601	17770
395	11632	17741
396	11660	17710
397	11687	17678
398	11720	17654
399	11749	17624
400	11776	17591
401	11805	17560
402	11834	17531
403	11864	17502
404	11893	17473
405	11925	17447
406	11958	17424
407	11988	17394
408	12020	17369
409	12055	17347
410	12084	17318
411	12116	17292
412	12148	17267
413	12177	17237
414	12212	17215
415	12244	17189
416	12272	17158
417	12304	17131
418	12344	17117
419	12379	17095
420	12409	17066
421	12440	17038
422	12469	17009
423	12500	16981
424	12530	16952
425	12561	16925
426	12592	16897
427	12619	16864
428	12646	16832
429	12681	16810
430	12712	16782
431	12744	16756
432	12770	16722
433	12800	16694
434	12831	16665
435	12858	16634
436	12889	16605
437	12918	16576
438	12950	16549
439	12978	16517
440	13007	16488
441	13038	16460
442	13071	16434
443	13100	16404
444	13130	16375
445	13161	16348
446	13190	16318
447	13219	16288
448	13246	16255
449	13277	16228
450	13305	16197
451	13336	16168
452	13367	16141
453	13400	16115
454	13428	16084
455	13457	16053
456	13486	16023
457	13522	16002
458	13555	15976
459	13583	15945
460	13610	15913
461	13640	15883
462	13670	15855
463	13699	15825
464	13729	15796
465	13758	15766
466	13789	15738
467	13816	15706
468	13847	15677
469	13877	15649
470	13908	15621
471	13935	15588
472	13966	15560
473	13996	15532
474	14026	15503
475	14058	15476
476	14089	15448
477	14120	15420
478	14147	15388
479	14175	15357
480	14204	15327
481	14236	15300
482	14268	15272
483	14296	15241
484	14328	15214
485	14358	15185
486	14386	15154
487	14417	15126
488	14448	15098
489	14475	15066
490	14507	15039
491	14543	15016
492	14570	14984
493	14598	14952
494	14628	14924
495	14662	14898
496	14690	14868
497	14720	14838
498	14749	14808
499	14777	14777
500	14805	14745
501	14835	14716
502	14864	14687
503	14896	14659
504	14924	14628
505	14951	14597
506	14980	14567
507	15011	14538
508	15040	14508
509	15069	14478
510	15099	14449
511	15132	14423
512	15164	14395
513	15193	14365
514	15225	14338
515	15255	14309
516	15286	14281
517	15320	14255
518	15352	14228
519	15380	14197
520	15410	14167
521	15440	14139
522	15469	14108
523	15498	14079
524	15529	14050
525	15561	14022
526	15591	13993
527	15623	13966
528	15655	13938
529	15690	13914
530	15723	13887
531	15749	13854
532	15779	13825
533	15807	13794
534	15838	13765
535	15865	13734
536	15894	13704
537	15925	13676
538	15955	13646
539	15986	13618
540	16017	13589
541	16049	13562
542	16077	13531
543	16107	13501
544	16139	13474
545	16170	13446
546	16201	13417
547	16236	13392
548	16265	13361
549	16295	13332
550	16322	13300
551	16351	13270
552	16384	13243
553	16415	13215
554	16441	13183
555	16471	13153
556	16502	13125
557	16532	13095
558	16560	13065
559	16590	13035
560	16616	13003
561	16647	12974
562	16681	12947
563	16711	12918
564	16741	12889
565	16774	12862
566	16807	12835
567	16839	12807
568	16870	12778
569	16901	12750
570	16932	12721
571	16959	12690
572	16994	12664
573	17024	12635
574	17056	12606
575	17087	12578
576	17118	12549
577	17149	12520
578	17177	12489
579	17208	12461
580	17239	12432
581	17271	12404
582	17303	12376
583	17333	12347
584	17364	12318
585	17398	12291
586	17428	12261
587	17458	12232
588	17487	12202
589	17518	12173
590	17548	12144
591	17578	12114
592	17605	12083
593	17633	12052
594	17665	12024
595	17696	11995
596	17726	11966
597	17757	11937
598	17791	11910
599	17820	11880
600	17857	11855
601	17889	11827
602	17920	11798
603	17946	11766
604	17971	11733
605	18003	11705
606	18035	11676
607	18065	11647
608	18098	11619
609	18126	11589
610	18155	11559
611	18186	11530
612	18217	11501
613	18244	11469
614	18276	11441
615	18311	11414
616	18341	11385
617	18375	11358
618	18405	11328
619	18438	11300
620	18468	11271
621	18498	11241
622	18533	11215
623	18565	11187
624	18596	11158
625	18629	11130
626	18658	11099
627	18690	11071
628	18721	11042
629	18754	11014
630	18785	10985
631	18818	10957
632	18848	10927
633	18878	10898
634	18908	10868
635	18939	10839
636	18970	10810
637	19002	10782
638	19031	10751
639	19060	10721
640	19085	10689
641	19120	10662
642	19148	10631
643	19176	10600
644	19206	10570
645	19238	10542
646	19271	10514
647	19303	10485
648	19334	10456
649	19365	10427
650	19393	10396
651	19425	10368
652	19457	10339
653	19482	10307
654	19514	10278
655	19549	10251
656	19578	10221
657	19609	10192
658	19639	10162
659	19670	10133
660	19699	10102
661	19727	10072
662	19762	10045
663	19790	10014
664	19820	9984
665	19852	9956
666	19887	9928
667	19917	9899
668	19948	9869
669	19981	9841
670	20012	9812
671	20045	9783
672	20076	9754
673	20105	9724
674	20137	9695
675	20166	9665
676	20194	9635
677	20226	9606
678	20256	9576
679	20284	9545
680	20314	9515
681	20339	9483
682	20371	9454
